00001740	1		00001930;00002137;04431553
00001930	2	00001740	00002452;00002684;00007347;00021007;00029976;14604577
00002137	2	00001740	00023280;00024444;00031563;00032220;00033319;00033914;05818169;08016141
00002452	3	00001930	04354303;09248053;09335551;09390100;09408804;09430745;09488589;09492089
00002684	3	00001930	00003553;00027365;03013287;03154617;03238126;03343593;03537260;03600372;03615483;03720260;03898588;04018636;04255138;04352366;04493701;07867030;09261049;09274595;09290396;09302364;09304683;09306099;09310874;09318244;09323811;09324937;09331304;09357302;09358146;09381447;09391121;09430224;09432081;09455894;09491367;09497292;09500167
00003553	4	00002684	00003993;00004258;00019308;00022119;02752958;03593583;04360881
00003993	5	00003553	
00004258	5	00003553	00004475;00006269;00006400;00006484
00004475	6	00004258	00005787;00005930;00006024;00006150;00007846;00015568;00017402;00019226;01316379;01316517;01316636;01317553;01322423;01322584;01322805;01322970;01323183;01326660;01328932;01329538;01329669;01329963;01330762;01330943;01386279;01386954;01387328;01388168;01388823;01388995;01418267;01418561;01418854;07956482;09839265;10223458;10316895;10361391;10476169;10623367;10667472;10763332;13013628;13105239;13105393;13144923;13145117;13145288
00005787	7	00004475	
00005930	7	00004475	
00006024	7	00004475	
00006150	7	00004475	
00006269	6	00004258	08010218
00006400	6	00004258	
00006484	6	00004258	01316379;01462305;01909790;05236952;05250095;05275882;05438205;05438978;05439502;05440199;05455333;05457114;05464308;05465988;05466279;05467033;05467166;11550600;11708847;11709021;11709219;13113144;13113307
00007347	3	00001930	00007846;09213796;09526814;09527009;09527596;09527735;09528047;09920164;10029580;10398111;10480990;10777586;11437675;14564166;14564646;14802595
00007846	7	00004475;00007347	09628155;09628463;09629201;09629719;09629903;09630310;09630660;09632262;09632591;09632901;09633285;09633435;09633690;09636221;09637077;09637345;09638495;09638837;09639952;09640726;09640897;09641987;09642198;09642482;09642994;09643248;09643964;09644402;09644529;09644715;09645219;09645472;09646098;09646208;09647338;09648150;09648571;09648959;09649219;09649426;09649777;09650205;09650305;09650650;09651570;09652434;09652940;09653829;09654317;09655462;09655706;09657682;09659294;09659490;09660255;09664887;09696262;09698566;09700747;09771577;09771712;09771850;09771988;09772126;09772258;09772396;09772535;09772679;09772829;09772973;09773123;09773382;09773872;09776292;09777275;09782244;09783207;09783624;09784323;09786620;09789059;09791087;09791753;09792668;09793590;09794206;09795702;09798565;09801091;09806026;09812582;09816250;09816415;09820525;09821868;09823653;09829769;09834481;09836941;09844011;09844815;09844921;09847649;09847846;09851102;09851208;09853256;09853385;09855548;09862990;09864809;09865673;09869865;09870573;09876077;09877258;09879821;09879912;09880693;09882251;09883942;09897322;09902904;09910201;09918344;09918741;09922407;09923389;09925902;09929832;09938012;09941131;09949922;09950725;09956078;09958771;09966606;09969936;09970753;09979794;09981893;09983941;09989021;09989618;09995649;09995959;09996258;09998419;10009953;10014481;10016019;10016750;10017160;10019527;10020209;10020651;10021240;10032031;10032560;10036672;10037746;10039613;10044087;10046971;10052950;10053388;10055991;10060414;10062653;10064490;10066335;10070520;10072651;10075538;10078219;10078970;10085354;10092496;10094629;10095687;10096558;10100106;10105843;10113165;10119144;10129431;10132360;10134739;10137168;10137396;10138501;10141785;10141957;10157889;10158287;10163245;10166447;10166782;10167139;10168956;10170314;10178349;10181787;10193566;10202544;10202776;10204565;10204767;10210364;10210620;10219402;10229489;10232450;10233099;10239549;10241326;10246663;10246936;10250784;10255246;10256539;10257969;10259458;10259779;10260211;10266741;10267577;10268573;10271476;10272819;10280403;10281880;10283916;10286025;10287996;10290575;10291222;10298363;10302617;10304662;10308700;10310771;10311391;10315480;10319367;10324050;10327733;10330570;10331490;10333840;10341412;10341896;10342204;10343657;10346217;10348654;10352878;10355276;10361686;10364505;10364653;10371356;10372030;10374841;10380759;10380995;10381089;10381224;10381702;10382018;10385098;10387108;10390080;10399825;10404195;10405406;10405770;10406214;10406317;10409097;10415089;10416161;10418998;10422162;10422569;10424295;10437427;10437846;10438480;10445710;10451389;10455483;10457939;10460154;10477343;10480735;10486484;10504324;10510550;10514752;10515560;10518284;10521631;10523045;10527285;10529198;10532575;10533416;10536285;10537942;10541063;10542352;10544566;10544727;10546109;10548806;10550534;10552133;10557711;10560213;10560786;10563352;10580065;10583139;10588623;10595038;10595231;10595667;10599128;10604305;10604529;10605384;10613451;10616642;10618762;10623588;10624496;10628841;10629202;10631057;10632319;10633021;10633741;10633879;10636094;10636186;10636295;10637420;10637523;10639008;10646084;10646711;10655186;10656272;10658445;10660366;10660949;10663166;10675662;10675927;10679201;10680655;10684741;10688105;10696121;10699445;10700357;10700507;10700830;10708307;10708471;10711096;10719401;10721816;10722264;10722985;10728446;10728905;10729178;10730281;10737110;10737238;10744008;10745370;10745529;10745683;10748650;10753007;10755221;10755509;10757088;10761247;10766014;10772148;10772729;10776309;10777293;10783393;10783546;10783964;10785693;10786688;10788253;10789450;10791304;10791658;10800912;10803215;10805371;10806193;10811530;10822797
