entity	00001740
physical entity	00001930
abstraction	00002137;00393656;02671631;05708590;05788101;05862715
abstract entity	00002137
thing	00002452;00034778;04431353;04431553;04624646;05679169;05863569;05993067;06736657;07304554;07495496;13967020
object	00002684;05818974;05990115;06142175;06321227
physical object	00002684
whole	00003553;05878206
unit	00003553;05878479;08206589;09488589;13604927;13832535
congener	00003993;01330943;14825012
living thing	00004258
animate thing	00004258
organism	00004475;08453046
being	00004475;13977471
benthos	00005787;08596045
dwarf	00005930;09564236;10060141
heterotroph	00006024
parent	00006150;10419190
life	00006269;04639514;05818587;06527818;09201624;10280403;11493691;13984685;13984978;13986528;15165365;15165704;15165852;15249872
biont	00006400
cell	00006484;02994503;02994757;02995010;02995166;02995984;08375521
causal agent	00007347
cause	00007347;00799906;01185144;06753097;07341157
causal agency	00007347
person	00007846;05224944;06337790
individual	00007846;10223458
someone	00007846
somebody	00007846
mortal	00007846
soul	00007846;00934969;07076008;07495930;10646444
animal	00015568
animate being	00015568
beast	00015568;09864997
brute	00015568;09864997
creature	00015568;09995959;09996081
fauna	00015568;08009721
plant	00017402;03963198;05914674;10458237
flora	00017402;08453769
plant life	00017402
native	00019226;09643964;09644402
natural object	00019308
substance	00019793;00020270;04941723;05928460;05929717;06611268;13374873;14604577
matter	00021007;05176769;05679169;05696202;05822417;06376912
food	00021445;05819240;07571428
nutrient	00021445;00021914
artifact	00022119
artefact	00022119
article	00023083;06278749;06335662;06404578
psychological feature	00023280
cognition	00023451
knowledge	00023451
noesis	00023451
motivation	00023953;00071461;14602016
motive	00023953;03794547;07043169
need	00023953;09390888;14472592;14517300
attribute	00024444;05857567
state	00024900;08154738;08185877;08195465;08562388;08671935;14011983;14503199
feeling	00026390;05715665;05729447;05730374;05925333;14549784
location	00027365;00156307;01053255;03687515
shape	00028005;04684871;05071206;05224424;05939522;05949928;08191066;14569829
form	00028005;03389381;03723460;04684871;04937655;05071206;05207938;05224424;05847533;05939522;06301417;06485234;07106984;08128123;08255384;14503649
time	00028468;04998860;07302920;07324217;15147173;15154879;15160774;15249488;15270326;15295388
space	00028950;04037131;06401196;06852240;06875252;08517454;08670545;13933399;15197259
infinite	00028950
absolute space	00029306
phase space	00029413
event	00029677;11430739;11474277;13966452
process	00029976;01025762;05477841;05709328;05709685;06568683
physical process	00029976
act	00030657;06544086;06905066;07022756;07027143
deed	00030657;06557128
human action	00030657
human activity	00030657
group	00031563;06026202;14645624
grouping	00031563;01014302;05741035
relation	00032220;00041700;00847184;05966295;07237483;10255246
possession	00032912;00811126;00811363;04869236;08649106;09205421;14431199
social relation	00033122
communication	00033319;06262268;13815054
measure	00033914;00175261;00998911;03739135;03741128;06548844;06877775;07108759;07275291
quantity	00033914;05116040;05863690
amount	00033914;05115065;05869651;13352213
phenomenon	00034512;07438418
exercise	00034873;00625978;00731217;00896250;00948944;07469062
kindness	00035041;04836995;04847242
benignity	00035041;04848212
update	00035244;06655934
abdominoplasty	00035498
tummy tuck	00035498
abort	00035660
accomplishment	00035910;05645403
achievement	00035910
agon	00036418
alienation	00036612;01110055;07517626;14439177
application	00036782;00634572;00713478;00950950;03696454;06524571;06582286
beachhead	00037020;08707187
foothold	00037020;03384835;08706766
cakewalk	00037301;00531911
feat	00037483
effort	00037483;00622867;00787849;00799906
exploit	00037483
masterpiece	00037727;03733096
masterstroke	00037811
credit	00037921;00066675;05811755;06358051;06701019;06776392;13395454;13399691;13426819
action	00038116;00577488;00955074;01184392;01184802;02680572;04843181;06385136;13540166;14030430
res gestae	00038913;06748010
course	00039000;00886144;03124441;03124680;07572535;08255384;08393816;08698960;09410115
course of action	00039000
blind alley	00039311;02854799
collision course	00039601;09272178
interaction	00039759;11536546
interplay	00039949
contact	00040035;00125700;03098248;03098615;06271913;07293990;07353929;09979596;14442914
brush	00040283;00257487;00657629;00961487;02160606;02911542;02911930;07428314;08454507
eye contact	00040478;06892816
fetch	00040654
placement	00040728;01053255;05082771
interchange	00040890;01095009;01168748;03582987
reciprocation	00040890;00342261;01238614
give-and-take	00040890;06790633;07155367
reciprocity	00041158;13863412
cross-fertilization	00041283;07452175
cross-fertilisation	00041283;07452175
dealings	00041542;01108713;13802661
traffic	00041542;01115977;07294158;08442260
playing	00041926;00102011;00549363
play	00042206;00431125;00432833;00458406;00512828;00557350;00558625;00788541;00949412;04781750;06793739;07021061;07032045;07426451;14017327;14033234;15281726
swordplay	00042206
boondoggle	00042352
bowling	00042478;00105796;00462843
acquiring	00042637
getting	00042637
causing	00043049
causation	00043049
delivery	00043279;00094303;00107092;00318033;01110658;07085523;07335222
obstetrical delivery	00043279
departure	00043495;07348249;07380889
going	00043495;00048792;07348249
going away	00043495
leaving	00043495
derring-do	00043854
discovery	00043933;05816226;07229092;07229302
find	00043933;05816226
uncovering	00043933;00395611
disposal	00044347;01138273;03216835;05205890
disposition	00044347;04630969;04950046;06206319
hit	00044640;00065324;00126449;00146599;01252922;03527722;07317160
implementation	00044888;01129700
effectuation	00044888
egress	00045193;07334509;07336738
egression	00045193
emergence	00045193;00051513;07334509;07339273
equalization	00045411
equalisation	00045411
leveling	00045411;00218912;00914407
exhumation	00045638
disinterment	00045638
digging up	00045638
mitzvah	00045855;06195901
mitsvah	00045855;06195901
propulsion	00045991;11518177
actuation	00045991
rally	00046387;01169007;07473948;08375259;13567048
rallying	00046387;01233174
recovery	00046648;07434392;13473520
retrieval	00046648;05769377;13572143
running away	00046918
stunt	00047085;01321678
touch	00047263;04938605;04953937;05650398;05662964;05730374;07178814;07202898;07293990;07424192;13796315;14105668
touching	00047263;07424192
tour de force	00047759
performance	00047847;00098324;00551808;06904543;13546752
overachievement	00048097
underachievement	00048291
record	00048486;00063834;03930191;06502164;06649049;06659969;13424816;13618229
track record	00048486;00064130
fait accompli	00048682
accomplished fact	00048682
sledding	00048792;00448058
arrival	00048966;00049115;09829571
reaching	00048966;00342069
attainment	00049397;00063626;05645403
advent	00049569;07337150;15266304
coming	00049569;00062953;00281697;05053622
entrance	00049744;03295682;07384725
entering	00049744;07384725
entry	00049744;00238889;03295682;06515715;07182229;13426469
ingress	00049744;07336941
incoming	00049744
incursion	00050103;00073511;00977538
intrusion	00050289;00734781;07444576;09337870;13522608
irruption	00050395;07449873;13560346
entree	00050548;03295682;05183715;07595140
entail	00050729;13309965
registration	00050857;01001729;04994605;06491045;08496997
enrollment	00050857;08496997
enrolment	00050857
appearance	00051015;00756620;01236192;04681322;05948150;07336372
apparition	00051304;05906160;07338036;09570240
emersion	00051513;07336738
reappearance	00051707;07336567
return	00051707;00052012;00090171;00328841;00560761;00567335;01237294;04091629;06560662;07214582;07357963;07461622;13281089
comeback	00051897;07214582
homecoming	00052012;00384089
repatriation	00052205
penetration	00052345;00848447;00977538;05142553;05208720;05718303
interpenetration	00052532;00977744
permeation	00052532;13556157
market penetration	00052717
anchorage	00052872;08657351;09078369;13341713;13946615
docking	00052966
moorage	00052966;08657686;13343889
dockage	00052966;03221531;13342252
tying up	00052966
landing	00053154;00053320;03643635;03643825
forced landing	00053611
emergency landing	00053611
breaking away	00053840;00386074
farewell	00053917;06641899
leave	00053917;06702859;15164090
leave-taking	00053917
parting	00053917;05263841
french leave	00054225
valediction	00054345;07258225
disappearance	00054429;00231039;07350316;07350946
disappearing	00054429
vanishing	00054626;07350704
withdrawal	00054733;00229778;00385741;00850689;01205289;01265206;01265361;07220962;07521270
effacement	00055148;13492720
self-effacement	00055148
retreat	00055303;00055472;00057732;03522810;06817705;06817846;08660590
retirement	00055472;00213054;13977336
evacuation	00055641;00396605;13494300
medical evacuation	00055858
medevac	00055858
medivac	00055858
decampment	00056047;00056453
desertion	00056135;00205288
abandonment	00056135;00091833;00205288
defection	00056135;14436815
abscondment	00056453
absence without leave	00056613
unauthorized absence	00056613
deviationism	00056752
emigration	00056907
out-migration	00056907
expatriation	00056907;00208610
immigration	00057131;08430791
in-migration	00057131
aliyah	00057371;06709754
pullback	00057508;04026275
standdown	00057982;14037312
stand-down	00057982;14037312
disengagement	00058126;00391714
fallback	00058126
pullout	00058126
receding	00058306;07350814
recession	00058306;01252578;08446513;13895060;14036839
sailing	00058477;00304321;00314632;00315295
amphibious landing	00058568
debarkation	00058822
disembarkation	00058822
disembarkment	00058822
going ashore	00059067
boarding	00059157;02860645
embarkation	00059157
embarkment	00059157
exit	00059339;03308910;07348249
elopement	00059428
escape	00059563;00174132;00205048;00430425;00742010;04134734;07451261;11573870
flight	00059563;00302018;00303220;03367905;05632993;08237361;08237455;08237541;11501734
evasion	00059947;00742010;01123176;06773810
slip	00060196;00074648;00077016;00171531;00329857;02978871;03017234;04247434;04346369;04954805;07332119;08657686;10631620;13148232;14838465
elusion	00060196
eluding	00060196
maneuver	00060372;00169058;00557350;00962103;05913746
manoeuvre	00060372;00169058;00557350;00962103;05913746
evasive action	00060372
clinch	00060548;00418872;03040851;03046814;03046969
dodge	00060715;05914396;06769391
break	00060809;00188856;00295592;00377208;00384760;00483903;00501291;01064921;07312251;07328414;07331456;07382148;07382412;09301443;14315592;15295994
breakout	00060809
jailbreak	00060809
gaolbreak	00060809
prisonbreak	00060809
prison-breaking	00060809
getaway	00061021;05068172
lam	00061021
exodus	00061234;06444385
hegira	00061234;00061368
hejira	00061234;00061368
skedaddle	00061567
underground railroad	00061637
underground railway	00061637
close call	00061834
close shave	00061834
squeak	00061834;07410223
squeaker	00061834;04299871
narrow escape	00061834
surfacing	00061991
dispatch	00062110;00223115;05066981;06695539
despatch	00062110;00223115;05066981;06695539
shipment	00062110;02967841
reshipment	00062273
consummation	00062418;00062612
realization	00062737;00933662;00941859;01121941;05815548;07052802
realisation	00062737;00933662;00941859;01121941;05815548;07052802
fruition	00062737;05221642;14599394
orgasm	00062953
climax	00062953;06385370;07117039;07431643;14592097
sexual climax	00062953
male orgasm	00063151
fulfillment	00063271;07547500
fulfilment	00063271;07547500
self-fulfillment	00063491
self-realization	00063491
self-realisation	00063491
world record	00064379
success	00064472;07333703;09782244;14498478
winning	00064838
blockbuster	00064971;02857129
megahit	00064971
smash hit	00064971
sleeper	00065190;02622491;04242752;04242877;04243107;04440719;10629981;10630215;10630366
smash	00065324;00127056;00570511;07331969;07424807
smasher	00065324;10633512;10633741
strike	00065324;00110234;00188559;00979387;01246221;07424621
bang	00065324;05266468;07390857;07424807;07543858
bell ringer	00065609;09868664;10734500
bull's eye	00065609;00187993;08534727
mark	00065609;04683421;04688744;04701248;05745098;06453473;06659006;06807523;06811608;06830640;07276776;07284884;09940867;11176933;13710138
home run	00065609;00133175
ennoblement	00065918;14456971
conquest	00066036;00089847;00161352
coup	00066156;01147528
flying colors	00066238
flying colours	00066238
passing	00066395;00341018;00561566;00867278;07307301;07325260;07348249
pass	00066395;00106640;00128106;00305418;00561566;00788715;06531360;06702971;06703153;06703828;07191150;07356460;07433422;09409735;13959972;15164512
qualifying	00066395;13823013
course credit	00066675
semester hour	00066895
credit hour	00066895
nonaccomplishment	00067036
nonachievement	00067036
failure	00067217;00067456;07332364;10292761;14083145;14501461;14502017
failing	00067721;14486530
flunk	00067721
naught	00067973;13762308
cut	00068074;00353157;00360064;00387723;00388465;00490486;00566846;00572481;01228486;03157285;03157409;05758945;06439886;06625218;06630741;06734210;07669003;13310182;14310615;14453311
default	00068217;05799872;13321164;13321434
loss	00068346;05170512;07302177;07348249;07355325;13348253;13348698;13530399
capitulation	00068527;06479539;06482913
fall	00068527;00077704;00758272;05119135;07376986;07384870;07442328;07486511;07493671;09288526;15194468;15261656
surrender	00068527;00214192;07269695;07557821
frustration	00068810;07533902;07556254
thwarting	00068810
foiling	00068810
overturn	00068990;00349138
upset	00068990;00349138;00555887;04522739;14075885;14426686
backsliding	00069153
lapse	00069153;00075344;15296403
lapsing	00069153
relapse	00069153
relapsing	00069153
reversion	00069153;00236075;00347519;07358174;07441173;13362365
reverting	00069153
recidivism	00069437
disappointment	00069575;07555990
dashing hopes	00069575
breach	00069721;07328414;09251708
copout	00069880
breach of contract	00069993
anticipatory breach	00070264
constructive breach	00070264
breach of duty	00070424
breach of the covenant of warranty	00070505
breach of promise	00070635
breach of trust	00070738
breach of trust with fraudulent intent	00070897
breach of warranty	00071035
leaning	00071183;05075249;06209296;07514352
material breach	00071282
motivating	00071461
partial breach	00071627
mistake	00071785;05904330;06782183
error	00071785;00072888;04809878;04860996;05904072;06782183;07314187
fault	00071785;00569850;04677049;05146359;07436844;09301443;14487787
double fault	00072366
footfault	00072520
bobble	00072684
misplay	00072888
blot	00073081;04701789
smear	00073081;04701789;05272638;06732965
smirch	00073081;04701789
spot	00073081;00587299;04293266;04293445;04293713;04689819;04701789;04739165;06408111;06408287;07286647;08682181;13783547;14105668
stain	00073081;04702524;06807523;14521680;15077537
confusion	00073293;00380562;05691387;07523151;13999199
mix-up	00073293
miscalculation	00073628
misreckoning	00073628
misestimation	00073628
backfire	00073852;07317771;07423221;07423565
boomerang	00073852;02875324
rounding	00073997
rounding error	00073997
truncation error	00074345
distortion	00074533;00752872;07448573;11440253;11532198;13889897
slip-up	00074648
miscue	00074648;00501938
parapraxis	00074648
freudian slip	00074912
offside	00075144
oversight	00075344;01137850;05714762
omission	00075444;05714901;13545602;14447018
skip	00075444;00290750
blunder	00075610
blooper	00075610
