breathe	00001740;00105087;00240640;00781405;00931665;00943377;02330268;02623136;02757662
take a breath	00001740
respire	00001740;00002325;00002573
suspire	00001740;00004032
choke	00002724;00077359;00077451;00077703;00173172;00359085;00391723;00391905;01478810;01481233;01573390;01573572;02428846;02535335
hyperventilate	00002942;00003133
aspirate	00003316;00954071;01543481
burp	00003443
bubble	00003443;00520136;00520309;01973091;02192368
belch	00003443;00308350
eruct	00003443;00076824
force out	00003662;01284214;01378302;01470687;02017692;02060390;02407967;02410394
hiccup	00003826
hiccough	00003826
sigh	00004032;00987832
exhale	00004227;00004605
expire	00004227;00359085;02690607
breathe out	00004227
hold	00004492;00608395;00685690;00695546;00738591;00807038;00824028;00886738;01132302;01154219;01207773;01219234;01219607;01304044;01337426;01604155;01737358;01777051;01863572;02208144;02288169;02307200;02446762;02456020;02503969;02516039;02649658;02654604;02682599;02687605;02689312;02706727;02707070;02712676;02738673;02752150
give forth	00004605
emanate	00004605;00547272
sneeze	00004819
inhale	00005041;01201417
inspire	00005041;00606705;00774006;00860463;01650224;01816687
breathe in	00005041
pant	00005526;00988205
puff	00005526;00006802;00264568;00798965;01067294;01201254;01201647;01816164
gasp	00005526
heave	00005526;00077211;00357608;00988618;01458495;01510424;02045051;02092737
cough	00005815
hack	00006100;00201982;00527521;01150567;01150665;01259737;01260381;02594436
whoop	00006100;00916168
expectorate	00006238;00577305
cough up	00006238;02204855
cough out	00006238
spit up	00006238;02204855
spit out	00006238;00102057;01047190
snort	00006523;01046945;01202393;01202883
wheeze	00006697
huff	00006802;01202883
chuff	00006802
blow	00007012;00034941;00310937;00436247;00478178;00781849;00884747;00936997;01547990;01852996;01906776;02072673;02104910;02105324;02121653;02140192;02140342;02182784;02270993;02273196;02533317;02680129;02775199
insufflate	00007193;00079382;02314781
yawn	00007328;02724625
sniff	00007549;02129497
sniffle	00007549;00067045
blink	00007739;00008435;02164320
wink	00007739;00008299;00008435;02164320
nictitate	00007739
nictate	00007739
palpebrate	00008055
bat	00008195;01415566;01415827;01416090;01416215
flutter	00008195;01882712;01883921;01903884;01904248
blink away	00008435
squint	00008595;00008792;02172514
squinch	00008595;02064997;02067153
wince	00008970;02064997
shed	00009140;01516062;01544361;01544585
molt	00009140
exuviate	00009140
moult	00009140
slough	00009140
desquamate	00009485
peel off	00009485;00050032;01262515;01265779;02037548
twitch	00009624;01451371;01459400;01895810;01897594
jerk	00009624;01594079;01594993;01888376;01895810
fibrillate	00009877
move involuntarily	00010047
move reflexively	00010047
act involuntarily	00010234
act reflexively	00010234
act	00010428;00013608;01098310;01723161;01723780;01725433;02372362;02424173;02531113;02750852
behave	00010428;02523827;02525332
do	00010428;00038562;01622033;01649143;01716563;01845714;02528887;02566500;02567910;02574587;02623620;02675578;02714981
fall over backwards	00011354
bend over backwards	00011354
presume	00011544;00633898;01017686;02380015
vulgarize	00011691;00583395;00972247
vulgarise	00011691;00583395;00972247
optimize	00011845;00124034;00172518
optimise	00011845;00124034;00172518
quack	00011975;01054970
menace	00012130;01069216;02702962
make	00012260;00071765;00073791;00107173;00120124;00276867;00547033;00557932;00563144;00563259;00667394;00699870;00700022;00732743;00772482;00840203;00892559;01431211;01620211;01622033;01624592;01643749;01649143;01649617;01657416;01658171;01668067;01737358;01759348;01759660;02024442;02025384;02026014;02054955;02080104;02138515;02294200;02360592;02401858;02566500;02589006;02604480;02627213;02627475;02671201;02680519;02751207;02754502;02754634
swagger	00012427;01037071;01920627
bluster	00012427;00884747;02776320
swash	00012427;00884747;01376685;02093349
freeze	00012606;00021990;00077891;00270309;00364146;00374806;00376536;00446666;01838672;02764784
wanton	00012746;01040306;01207423;02271267;02621504;02713983
romanticize	00012847;00535760;00694938
sentimentalise	00012937;00534265;00580182
sentimentalize	00012937;00534265;00580182
sentimentize	00012937
sentimentise	00012937
bungle	00013165;02533317
